fault,Y,X,Z
F7,-897.82520535402,3668.5251860218123,2306.642578125
F7,-891.1444628257304,3660.190794352442,2303.069580078125
F7,-877.5183939039707,3642.132945735939,2301.631103515625
F7,-857.2777284253389,3615.939143350348,2311.69140625
F7,-851.7214673105627,3609.3906927537173,2311.701904296875
F7,-838.6907120849937,3595.5000399714336,2315.2626953125
F7,-824.6016214061528,3580.5510517405346,2311.72314453125
F7,-811.8354500383139,3566.9911287855357,2296.1611328125
F7,-804.3609559237957,3557.5984016684815,2286.234619140625
F7,-793.1161417663097,3542.6494134375826,2291.05908203125
F7,-784.5171662345529,3531.0738694518805,2302.555419921875
F7,-772.214016629383,3514.338940148242,2305.9794921875
F7,-761.6968080941588,3500.1175575386733,2299.8876953125
F7,-753.7592922188342,3487.0868023112416,2290.564697265625
F7,-743.8373973760754,3471.9393761837855,2281.32666015625
F7,-735.5030057076365,3458.3133072638884,2265.2802734375
F7,-725.8456947226077,3440.586188477464,2254.606201171875
F7,-715.9237998817116,3421.8007342368364,2259.0634765625
F7,-705.5388832781464,3403.346009830013,2236.1240234375
F7,-694.5586529821157,3385.023577351123,2220.55859375
F7,-686.15811534971,3370.8683407064527,2205.75341796875
F7,-674.7810092624277,3352.082886468619,2178.533935546875
F7,-662.147129824385,3330.651593606919,2157.6748046875
F7,-652.2252349834889,3313.7843723725528,2154.3974609375
F7,-639.194479752332,3291.030160197057,2154.490966796875
F7,-625.7095222231001,3267.8261554520577,2171.8251953125
F7,-615.5142240617424,3250.8795590633526,2164.359375
F7,-605.9892050083727,3233.3508781716228,2156.84228515625
F7,-597.8532512392849,3218.600327837281,2151.06787109375
F7,-589.1219837777317,3203.3867557439953,2150.28173828125
F7,-579.663110692054,3185.196615195833,2161.32177734375
F7,-570.3365295361727,3166.3450149931014,2167.951171875
F7,-559.35629924573,3144.847576165572,2172.098876953125
F7,-549.9635721277446,3125.0699324449524,2169.635986328125
F7,-544.936478741467,3117.7277302592993,2169.262451171875
F7,-537.7265684846789,3106.8797918967903,2168.984375
F7,-529.5906147155911,3094.1136205317453,2179.25732421875
F7,-517.8827787972987,3077.3786912281066,2198.305908203125
F7,-507.7624460551888,3063.488038446754,2217.889892578125
F7,-498.63430280424654,3050.7880130466074,2211.46142578125
F7,-492.6811658963561,3038.2864255430177,2204.599853515625
F7,-483.6191686037928,3020.0301390299574,2199.771240234375
F7,-477.00457204319537,3005.544172558002,2193.697021484375
F7,-468.7363263387233,2987.023302182555,2182.9287109375
F7,-462.32016767188907,2971.9420220209286,2175.20263671875
F7,-458.020679904148,2961.887835244648,2165.5009765625
F7,-446.643573820591,2941.5148778343573,2151.8095703125
F7,-435.46490563079715,2921.6710881451145,2134.900390625
F7,-426.07217850908637,2904.1424072552472,2117.442626953125
F7,-412.71069345250726,2881.454341045581,2095.674072265625
F7,-402.65650667995214,2864.0579520845786,2082.3916015625
F7,-391.34554655477405,2848.4475041981786,2066.893798828125
F7,-380.29917029477656,2833.4985159672797,2049.4931640625
F7,-372.0970705617219,2821.6583881201223,2040.1634521484375
F7,-364.02726275101304,2808.4953409610316,2030.1436767578125
F7,-356.751206535846,2797.2505268035457,2020.12109375
F7,-348.6813987288624,2784.6166473692283,2008.5714111328125
F7,-337.8996063321829,2770.3291187938303,1995.7508544921875
F7,-327.84541955403984,2756.041590217501,1985.4173583984375
