X,Y,Z,section_name,source_layer,feature_type,confidence,use_as_hard,note,dist_F2_m,dist_F7_m,nearest
-1769.0269769999431,267.96839999966323,1787.488453,XK15,Z1,structure_hint,medium,0,,130.30565844927605,3158.1309656810045,F2
-1766.7063690000214,272.82387000042945,1772.97666927,XK15,Z1,structure_hint,medium,0,,124.99609472548052,3156.069118423567,F2
-1765.0711710000178,276.2452299995348,1763.49468259,XK15,Z1,structure_hint,medium,0,,121.25476085889832,3154.620957920788,F2
-1762.6973739999812,281.21198999974877,1750.13753477,XK15,Z1,structure_hint,medium,0,,115.82349922631364,3152.5256149281854,F2
-1760.2179949999554,286.39965999964625,1736.45063801,XK15,Z1,structure_hint,medium,0,,110.15069899265556,3150.345857347708,F2
-1757.000115999952,293.1325099999085,1718.55870252,XK15,Z1,structure_hint,medium,0,,102.79635683789256,3147.5302547910605,F2
-1754.520687000011,298.3202799996361,1705.03674456,XK15,Z1,structure_hint,medium,0,,97.1353452281845,3145.3711432207,F2
-1751.197250999976,305.2739899996668,1686.73259072,XK15,Z1,structure_hint,medium,0,,89.54730051230861,3142.4912371270216,F2
-1748.6648819999536,310.57252999953926,1673.54057469,XK15,Z1,structure_hint,medium,0,,83.76541447892039,3140.3077505656643,F2
-1745.3408729999792,317.52744000032544,1657.13321703,XK15,Z1,structure_hint,medium,0,,76.17606043517895,3137.456064989301,F2
-1741.7003440000117,325.14460999984294,1638.99438796,XK15,Z1,structure_hint,medium,0,,67.8640330221741,3134.351609492934,F2
-2108.173418999999,764.3435100000352,1838.64886642,XK19,Z1,structure_hint,medium,0,,167.06522509024492,3554.8558986721173,F2
-2113.688409000053,748.966649999842,1739.14769031,XK19,Z1,structure_hint,medium,0,,150.73921686223497,3557.456207380983,F2
-2115.596549000009,743.6463900003582,1704.47635253,XK19,Z1,structure_hint,medium,0,,145.0909112652163,3558.372913342619,F2
-2116.969478999963,739.8183899996802,1678.40148141,XK19,Z1,structure_hint,medium,0,,141.02706660737988,3559.0378996049158,F2
-2118.784539000015,734.7576500000432,1645.87908513,XK19,Z1,structure_hint,medium,0,,135.65479972891237,3559.923975131507,F2
-2122.71716999996,723.7927200002596,1573.02662529,XK19,Z1,structure_hint,medium,0,,124.01611913726616,3561.870891374896,F2
-2382.4677549999906,649.9193200003356,1837.83990719,xk23,Z1,structure_hint,medium,0,,49.90607466806355,3806.639389764461,F2
-2379.8601029999554,657.1891700001433,1790.95939675,xk23,Z1,structure_hint,medium,0,,42.70089795460894,3805.108329406476,F2
-2377.537662000046,663.6638700002804,1750.2424594,xk23,Z1,structure_hint,medium,0,,36.02798452219875,3803.757410507816,F2
-2369.7961949999444,685.2462299996987,1613.89675174,xk23,Z1,structure_hint,medium,0,,13.110836332904944,3799.340829073301,F2
-2368.777581000002,688.0860099997371,1596.33990719,xk23,Z1,structure_hint,medium,0,,10.095426042406558,3798.769620020376,F2
-2367.310777000035,692.1753000002354,1571.49883991,xk23,Z1,structure_hint,medium,0,,5.753228958093502,3797.951139505079,F2
-2366.821842000005,693.5383900003508,1562.90719258,xk23,Z1,structure_hint,medium,0,,4.305836007891789,3797.67937650881,F2
-2365.843971999944,696.2645899998024,1546.28422274,xk23,Z1,structure_hint,medium,0,,1.411031507173104,3797.137452115216,F2
-2364.9068470000057,698.8771900003776,1530.03480278,xk23,Z1,structure_hint,medium,0,,1.3631482368005094,3796.620107691633,F2
-2363.480787000037,702.8528800001368,1505.75406032,xk23,Z1,structure_hint,medium,0,,5.584720930109657,3795.836602193249,F2
-2362.5029179999838,705.5790799995884,1488.94431555,xk23,Z1,structure_hint,medium,0,,8.479525063397597,3795.3019671826673,F2
-2361.5657930000452,708.1916800001636,1472.50812065,xk23,Z1,structure_hint,medium,0,,11.253704807371207,3794.791610354466,F2
-2359.610054000048,713.6440599998459,1439.44895592,xk23,Z1,structure_hint,medium,0,,17.0432948410198,3793.7328375944207,F2
-2357.328358000028,720.0051699997857,1401.16009281,xk23,Z1,structure_hint,medium,0,,23.797816730954384,3792.508410617966,F2
-435.04770200001076,-389.3249599998817,1884.17696214,XKT03,D1,fracture_hint,medium,0,,434.1252064418605,1885.6449264902876,F2
-310.44615500001237,-7.519070000387728,1854.41445814,XKT03,D2,fracture_hint,medium,0,,36.21861978479994,1698.9826311480674,F2
-423.90313999995124,-355.1756300004199,1865.20493012,XKT03,Z1,structure_hint,medium,0,,398.4973429752321,1866.1922252686347,F2
-423.74483099998906,-354.690539999865,1863.65063245,XKT03,Z1,structure_hint,medium,0,,397.9912502926365,1865.9194201388827,F2
-423.3752760000061,-353.5581400003284,1859.69414789,XKT03,Z1,structure_hint,medium,0,,396.8098220205154,1865.282971865684,F2
-420.47291100001894,-344.6646699998528,1831.15157774,XKT03,Z1,structure_hint,medium,0,,387.5312993232743,1860.3034689577848,F2
-419.94518899999093,-343.0476200003177,1825.92347264,XKT03,Z1,structure_hint,medium,0,,385.84423712253806,1859.4016968918688,F2
-419.47025999997277,-341.5923399999738,1821.26057963,XKT03,Z1,structure_hint,medium,0,,384.32594887849183,1858.5910947393124,F2
-411.6594460000051,-317.6583200003952,1742.83871887,XKT03,Z1,structure_hint,medium,0,,359.3627703917205,1845.3907899014348,F2
-410.8676849999465,-315.2322000004351,1734.64321482,XKT03,Z1,structure_hint,medium,0,,356.83386890965943,1844.0666247922795,F2
-410.44547899998724,-313.93847000040114,1730.40419532,XKT03,Z1,structure_hint,medium,0,,355.4854660468747,1843.3615694667903,F2
-408.70393099996727,-308.6019900003448,1713.0242438,XKT03,Z1,structure_hint,medium,0,,349.9244867692922,1840.461083292774,F2
-406.32935999997426,-301.3257999997586,1689.85111731,XKT03,Z1,structure_hint,medium,0,,342.3432410948072,1836.5265873532865,F2
-405.85435999999754,-299.87029999960214,1685.04688573,XKT03,Z1,structure_hint,medium,0,,340.82671892304273,1835.7423642689405,F2
-405.59046400000807,-299.0616600001231,1682.3621639,XKT03,Z1,structure_hint,medium,0,,339.9841769152142,1835.3070785859024,F2
-404.6931859999895,-296.3122100001201,1673.17757425,XKT03,Z1,structure_hint,medium,0,,337.1194556681881,1833.829238664629,F2
-404.2180439999793,-294.85627000033855,1668.09066553,XKT03,Z1,structure_hint,medium,0,,335.60247533115864,1833.048032137542,F2
-402.31818800000474,-289.0346999997273,1649.15641635,XKT03,Z1,structure_hint,medium,0,,329.53683532034694,1829.9338545913365,F2
