fault,depth_below_trace_m,Y_m,top_elevation_m,admissible_model_count,admissible_models,x_min_m,x_median_m,x_max_m,x_spread_m,x_single_plane_m,x_segmented_plane_m,x_quadratic_surface_m,x_trace_constrained_ruled_m
F2,100.0,-245.11640124954283,1765.7628173828125,2,single_plane;segmented_plane,-267.9839170788182,-193.10359366470948,-118.22327025048435,149.76064682833385,-118.22327025048435,-267.9839170788182,,
F2,100.0,-235.50249733310193,1765.7628173828125,2,single_plane;segmented_plane,-265.8648228830425,-202.6533415573649,-139.44186023180373,126.42296265123878,-139.44186023180373,-265.8648228830425,,
F2,100.0,-225.88859341666102,1765.7628173828125,2,single_plane;segmented_plane,-263.7457286872668,-212.20308945025317,-160.6604502131231,103.0852784741437,-160.6604502131231,-263.7457286872668,,
F2,100.0,-216.27468950022012,1765.7628173828125,2,single_plane;segmented_plane,-261.62663449160755,-221.75283734302502,-181.8790401944425,79.74759429716505,-181.8790401944425,-261.62663449160755,,
F2,100.0,-206.6607855828479,1751.2409685865127,2,single_plane;segmented_plane,-237.84537075669505,-209.17012588051148,-180.49488100444432,57.35048975225072,-180.49488100444432,-237.84537075669505,,
F2,100.0,-197.046881666407,1741.8891454058305,2,single_plane;segmented_plane,-221.77620848896913,-204.46694707253482,-187.1576856561005,34.61852283286862,-187.1576856561005,-221.77620848896913,,
F2,100.0,-187.43297774996608,1745.438006443777,2,single_plane;segmented_plane,-224.95093263231684,-219.42544310656376,-213.8999535809271,11.050979051389731,-213.8999535809271,-224.95093263231684,,
F2,100.0,-177.81907383259386,1740.325076323987,2,single_plane;segmented_plane,-227.16044685838278,-221.1826764473226,-215.20490603637882,11.955540822003968,-227.16044685838278,-215.20490603637882,,
F2,100.0,-168.20516991615295,1755.751144530774,2,single_plane;segmented_plane,-272.38917186670005,-254.24298641900532,-236.096800971427,36.29237089527305,-272.38917186670005,-236.096800971427,,
F2,100.0,-158.59126599971205,1776.1252417371122,2,single_plane;segmented_plane,-325.3193307571346,-294.84448844206054,-264.3696461269865,60.94968463014811,-325.3193307571346,-264.3696461269865,,
F2,100.0,-148.97736208327115,1798.1608186997264,2,single_plane;segmented_plane,-380.8355247118743,-337.978218536824,-295.12091236177366,85.71461235010065,-380.8355247118743,-295.12091236177366,,
F2,100.0,-139.36345816683024,1796.608287769048,2,single_plane;segmented_plane,-399.6376546609681,-345.16178508428857,-290.6859155074926,108.9517391534755,-399.6376546609681,-290.6859155074926,,
F2,100.0,-129.74955424945801,1783.569364489777,2,single_plane;segmented_plane,-400.5616171139991,-334.8391707481351,-269.11672438215464,131.44489273184445,-400.5616171139991,-269.11672438215464,,
F2,100.0,-120.13565033301711,1768.2270622792578,2,single_plane;segmented_plane,-397.900450910558,-321.00602264283225,-244.1115943749901,153.7888565355679,-397.900450910558,-244.1115943749901,,
F2,100.0,-110.5217464165762,1779.9982928098184,2,single_plane;segmented_plane,-437.4405490467325,-348.49606759718154,-259.5515861476306,177.8889628991019,-437.4405490467325,-259.5515861476306,,
F2,100.0,-100.9078425001353,1788.3291906555685,2,single_plane;segmented_plane,-471.6258898212109,-370.7427703032736,-269.85965078521986,201.76623903599105,-471.6258898212109,-269.85965078521986,,
F2,100.0,-91.2939385836944,1780.4211389326983,2,single_plane;segmented_plane,-480.5358741938835,-368.240014703013,-255.9441552120261,224.5917189818574,-480.5358741938835,-255.9441552120261,,
F2,100.0,-81.68003466632217,1768.0143902683587,2,single_plane;segmented_plane,-482.44379429961555,-358.88088505587075,-235.31797581212595,247.1258184874896,-482.44379429961555,-235.31797581212595,,
F2,100.0,-72.06613074988127,1752.8053831074133,2,single_plane;segmented_plane,-479.99009717360605,-345.25088927010074,-210.51168136647902,269.478415807127,-479.99009717360605,-210.51168136647902,,
F2,100.0,-62.45222683344036,1742.4622795007294,2,single_plane;segmented_plane,-485.11000855173916,-339.03691978752613,-192.96383102342952,292.14617752830964,-485.11000855173916,-192.96383102342952,,
F2,100.0,-52.83832291699946,1749.186011941462,2,single_plane;segmented_plane,-516.79385264765,-358.83417383837514,-200.87449502910022,315.91935761854984,-516.79385264765,-200.87449502910022,,
F2,100.0,-43.22441899962723,1755.9097443828457,2,single_plane;segmented_plane,-548.4776967467042,-378.6314278912032,-208.78515903570224,339.69253771100193,-548.4776967467042,-208.78515903570224,,
F2,100.0,-33.61051508318633,1757.7866151429953,2,single_plane;segmented_plane,-572.6175703482004,-391.04167697764933,-209.46578360709827,363.1517867411021,-572.6175703482004,-209.46578360709827,,
F2,100.0,-23.996611166745424,1755.5107144234055,2,single_plane;segmented_plane,-590.2938005493488,-397.31691912875976,-204.3400377081707,385.9537628411781,-590.2938005493488,-204.3400377081707,,
F2,100.0,-14.38270725030452,1733.8638555487078,2,single_plane;segmented_plane,-577.8198126502102,-389.88600612198934,-201.95219959376846,375.86761305644177,-577.8198126502102,-201.95219959376846,,
F2,100.0,-4.768803332932293,1719.3551139862518,2,single_plane;segmented_plane,-576.4560544106644,-393.33415497199167,-210.21225553331897,366.2437988773454,-576.4560544106644,-210.21225553331897,,
F2,100.0,4.845100584439933,1732.634058682101,2,single_plane;segmented_plane,-618.3428568530362,-439.13296077377163,-259.92306469462346,358.41979215841275,-618.3428568530362,-259.92306469462346,,
