point_id,section_id,zone,point_class,is_primary,is_nearby,metric,distance_type,associated_fault,competing_fault,value,units
ORE_0017,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,217.73149880804863,ratio
ORE_0017,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,69.20921751212379,m
ORE_0017,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,297.03208402817825,m
ORE_0017,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,4.29179948431212,ratio
ORE_0018,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,11.145010304388464,m
ORE_0018,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1482.4106353214015,m
ORE_0018,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,133.0111498181107,ratio
ORE_0018,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,64.5541734661854,m
ORE_0018,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,301.8700263233805,m
ORE_0018,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,4.676227889146552,ratio
ORE_0019,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,12.54096325098332,m
ORE_0019,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1481.049726040993,m
ORE_0019,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,118.09696722656976,ratio
ORE_0019,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,49.21990653952211,m
ORE_0019,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,317.80678145624006,m
ORE_0019,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,6.456874947559089,ratio
ORE_0020,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,9.177220782585213,m
ORE_0020,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.5772597025411,m
ORE_0020,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,161.33176860167728,ratio
ORE_0020,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,42.15519299681081,m
ORE_0020,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,325.1490700081561,m
ORE_0020,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,7.7131439069145005,ratio
ORE_0021,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,15.715009468235056,m
ORE_0021,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.178021106003,m
ORE_0021,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,94.18880873714427,ratio
ORE_0021,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,35.36429443268107,m
ORE_0021,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,332.2067848053616,m
ORE_0021,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,9.393847385750771,ratio
ORE_0022,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,18.24713840428828,m
ORE_0022,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.550777131226,m
ORE_0022,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,81.08398940973206,ratio
ORE_0022,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,18.734407855552448,m
ORE_0022,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,349.68030177068977,m
ORE_0022,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,18.66513766897909,ratio
ORE_0023,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,16.301673882326977,m
ORE_0023,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.526735447242,m
ORE_0023,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,90.75919111909306,ratio
ORE_0023,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,16.42297149992892,m
ORE_0023,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,352.1846480264659,m
ORE_0023,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,21.44463613226085,ratio
ORE_0024,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,15.280066136508228,m
ORE_0024,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.5717805229085,m
ORE_0024,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,96.83019479790141,ratio
ORE_0024,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,11.169699978540454,m
ORE_0024,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,357.87635128876565,m
ORE_0024,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,32.03992515254017,ratio
ORE_0025,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,9.343607660350678,m
ORE_0025,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.4536075063286,m
ORE_0025,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,158.44560916107272,ratio
ORE_0025,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,1.5562273310413917,m
ORE_0025,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,368.29215337567524,m
ORE_0025,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,236.65703977144688,ratio
ORE_0026,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,9.507104728295666,m
ORE_0026,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.908288507987,m
ORE_0026,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,155.7685889480539,ratio
ORE_0026,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,0.1903746119163247,m
ORE_0026,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,369.77199841459344,m
ORE_0026,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,1942.3388165703482,ratio
ORE_0027,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,4.703791826637399,m
ORE_0027,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.6671403172254,m
